date,time,origin,destination,ridership
2026-01-01,05:00,JB Sentral,Woodlands CIQ,124
2026-01-01,06:00,JB Sentral,Woodlands CIQ,178
2026-01-01,07:00,JB Sentral,Woodlands CIQ,533
2026-01-01,08:00,JB Sentral,Woodlands CIQ,321
2026-01-01,08:00,Woodlands CIQ,JB Sentral,320
2026-01-01,09:00,Woodlands CIQ,JB Sentral,321
2026-01-01,11:00,JB Sentral,Woodlands CIQ,326
2026-01-01,12:00,JB Sentral,Woodlands CIQ,327
2026-01-01,12:00,Woodlands CIQ,JB Sentral,326
2026-01-01,13:00,Woodlands CIQ,JB Sentral,326
2026-01-01,14:00,JB Sentral,Woodlands CIQ,327
2026-01-01,15:00,JB Sentral,Woodlands CIQ,324
2026-01-01,15:00,Woodlands CIQ,JB Sentral,324
2026-01-01,16:00,JB Sentral,Woodlands CIQ,323
2026-01-01,16:00,Woodlands CIQ,JB Sentral,326
2026-01-01,17:00,JB Sentral,Woodlands CIQ,321
2026-01-01,17:00,Woodlands CIQ,JB Sentral,320
2026-01-01,18:00,Woodlands CIQ,JB Sentral,324
2026-01-01,19:00,JB Sentral,Woodlands CIQ,317
2026-01-01,20:00,JB Sentral,Woodlands CIQ,315
2026-01-01,20:00,Woodlands CIQ,JB Sentral,253
2026-01-01,21:00,JB Sentral,Woodlands CIQ,316
2026-01-01,21:00,Woodlands CIQ,JB Sentral,206
2026-01-01,22:00,JB Sentral,Woodlands CIQ,317
2026-01-01,22:00,Woodlands CIQ,JB Sentral,185
2026-01-01,23:00,Woodlands CIQ,JB Sentral,75
2026-01-02,05:00,JB Sentral,Woodlands CIQ,640
2026-01-02,06:00,JB Sentral,Woodlands CIQ,640
2026-01-02,07:00,JB Sentral,Woodlands CIQ,640
2026-01-02,08:00,JB Sentral,Woodlands CIQ,323
2026-01-02,08:00,Woodlands CIQ,JB Sentral,320
2026-01-02,09:00,Woodlands CIQ,JB Sentral,320
2026-01-02,10:00,JB Sentral,Woodlands CIQ,323
2026-01-02,11:00,JB Sentral,Woodlands CIQ,326
2026-01-02,11:00,Woodlands CIQ,JB Sentral,322
2026-01-02,12:00,JB Sentral,Woodlands CIQ,322
2026-01-02,12:00,Woodlands CIQ,JB Sentral,321
2026-01-02,13:00,Woodlands CIQ,JB Sentral,323
2026-01-02,14:00,JB Sentral,Woodlands CIQ,325
2026-01-02,15:00,JB Sentral,Woodlands CIQ,323
2026-01-02,15:00,Woodlands CIQ,JB Sentral,327
2026-01-02,16:00,JB Sentral,Woodlands CIQ,325
2026-01-02,16:00,Woodlands CIQ,JB Sentral,317
2026-01-02,17:00,JB Sentral,Woodlands CIQ,324
2026-01-02,17:00,Woodlands CIQ,JB Sentral,316
2026-01-02,18:00,Woodlands CIQ,JB Sentral,317
2026-01-02,19:00,JB Sentral,Woodlands CIQ,322
2026-01-02,20:00,JB Sentral,Woodlands CIQ,324
2026-01-02,20:00,Woodlands CIQ,JB Sentral,317
2026-01-02,21:00,JB Sentral,Woodlands CIQ,320
2026-01-02,21:00,Woodlands CIQ,JB Sentral,320
2026-01-02,22:00,JB Sentral,Woodlands CIQ,320
2026-01-02,22:00,Woodlands CIQ,JB Sentral,317
2026-01-02,23:00,Woodlands CIQ,JB Sentral,305
2026-01-03,05:00,JB Sentral,Woodlands CIQ,188
2026-01-03,06:00,JB Sentral,Woodlands CIQ,317
2026-01-03,07:00,JB Sentral,Woodlands CIQ,644
2026-01-03,08:00,JB Sentral,Woodlands CIQ,322
2026-01-03,08:00,Woodlands CIQ,JB Sentral,316
2026-01-03,09:00,Woodlands CIQ,JB Sentral,318
2026-01-03,10:00,JB Sentral,Woodlands CIQ,322
2026-01-03,11:00,JB Sentral,Woodlands CIQ,322
2026-01-03,11:00,Woodlands CIQ,JB Sentral,317
2026-01-03,12:00,JB Sentral,Woodlands CIQ,323
2026-01-03,12:00,Woodlands CIQ,JB Sentral,314
2026-01-03,13:00,Woodlands CIQ,JB Sentral,316
2026-01-03,14:00,JB Sentral,Woodlands CIQ,327
2026-01-03,15:00,JB Sentral,Woodlands CIQ,322
2026-01-03,15:00,Woodlands CIQ,JB Sentral,320
